t,dayofweek,weekend,y,y_t_1
15,2,0,8.557285714285715,8.391
16,3,0,12.295388888888889,8.557285714285715
17,4,0,9.061846153846155,12.295388888888889
18,5,0,7.236473684210526,9.061846153846155
19,6,1,7.827600000000001,7.236473684210526
20,0,1,8.198285714285715,7.827600000000001
21,1,0,5.907333333333333,8.198285714285715
22,2,0,14.149499999999998,5.907333333333333
23,3,0,6.503692307692308,14.149499999999998
24,4,0,9.441133333333333,6.503692307692308
25,5,0,10.342347826086955,9.441133333333333
26,6,1,5.011272727272727,10.342347826086955
27,0,1,11.076235294117646,5.011272727272727
28,1,0,8.152625,11.076235294117646
29,2,0,9.596444444444444,8.152625
30,3,0,11.234625,9.596444444444444
1,4,0,15.3873,11.234625
2,5,0,7.826071428571429,15.3873
3,6,1,8.830714285714285,7.826071428571429
4,0,1,12.908235294117647,8.830714285714285
5,1,0,8.0695,12.908235294117647
6,2,0,9.504666666666667,8.0695
7,3,0,3.9627499999999998,9.504666666666667
8,4,0,11.020357142857142,3.9627499999999998
9,5,0,9.630611111111111,11.020357142857142
10,6,1,7.196631578947368,9.630611111111111
11,0,1,7.226076923076922,7.196631578947368
12,1,0,8.293625,7.226076923076922
13,2,0,9.410071428571428,8.293625
14,3,0,9.795875,9.410071428571428
15,4,0,10.586666666666666,9.795875
16,5,0,6.830307692307692,10.586666666666666
17,6,1,8.764681818181819,6.830307692307692
18,0,1,9.67011111111111,8.764681818181819
19,1,0,9.0964,9.67011111111111
20,2,0,8.404916666666667,9.0964
21,3,0,5.985047619047619,8.404916666666667
22,4,0,11.5175,5.985047619047619
23,5,0,8.84,11.5175
24,6,1,10.654277777777779,8.84
25,0,1,9.015500000000001,10.654277777777779
26,1,0,10.3605,9.015500000000001
27,2,0,9.245818181818182,10.3605
28,3,0,7.0244210526315785,9.245818181818182
29,4,0,6.552117647058823,7.0244210526315785
30,5,0,10.76845,6.552117647058823
31,6,1,6.734125,10.76845
1,0,1,8.37375,6.734125
2,1,0,14.1365,8.37375
3,2,0,10.383529411764707,14.1365
4,3,0,6.346153846153846,10.383529411764707
5,4,0,7.9911111111111115,6.346153846153846
6,5,0,11.730125,7.9911111111111115
7,6,1,10.050235294117648,11.730125
8,0,1,6.708666666666667,10.050235294117648
9,1,0,6.972125,6.708666666666667
10,2,0,12.7737,6.972125
11,3,0,9.040909090909091,12.7737
12,4,0,9.020199999999999,9.040909090909091
13,5,0,8.228923076923078,9.020199999999999
14,6,1,11.00863157894737,8.228923076923078
15,0,1,10.393545454545455,11.00863157894737
16,1,0,9.270285714285714,10.393545454545455
